cluster 0 gene,cluster 0 score,cluster 1 gene,cluster 1 score,cluster 2 gene,cluster 2 score,cluster 3 gene,cluster 3 score,cluster 4 gene,cluster 4 score,cluster 5 gene,cluster 5 score
Fam198a,-3.0064113,Gpx4,-2.9831667,Tmem123,-1.5792681,Chst8,-4.8182435,Tlk1,-4.5645056,Cyb5r4,-1.60749
Pfkl,-3.0068343,Syce2,-2.984668,Ptpn11,-1.58233,Pacrg,-4.825763,Sra1,-4.56563,Myl9,-1.6127096
Gstt2,-3.0092316,Btf3l4,-2.985535,Shfm1,-1.5863161,Cox7c,-4.828875,Clpx,-4.5722814,Slc4a7,-1.6127859
Nae1,-3.0153186,2310009B15Rik,-2.985831,Ybx3,-1.5871826,Galr1,-4.8400283,Hip1r,-4.5787563,Flnb,-1.6129383
Psmd12,-3.0305483,Fdx1,-3.0009286,Rsrp1,-1.5894357,Sepw1,-4.841374,Ift81,-4.5797524,Atad1,-1.6158339
Prpf4b,-3.0307128,Nae1,-3.0009708,Ctnnb1,-1.5901867,Ctso,-4.8481703,Hspbp1,-4.5826445,Hif3a,-1.617739
Sgf29,-3.0343792,Ppp4c,-3.0046926,Ppil3,-1.5906489,Serinc2,-4.8507943,Ghrl,-4.60239,Smarcd3,-1.6189581
Tmem63b,-3.0358362,Fermt1,-3.0050097,Desi1,-1.5907067,Nmt2,-4.858415,Edem1,-4.6027756,Habp4,-1.6222347
Polr2a,-3.0438976,Ammecr1l,-3.012495,2700049A03Rik,-1.5913421,Cops5,-4.869097,Dek,-4.603884,Ppt1,-1.6222347
Ak6,-3.0449789,Aldh7a1,-3.0199382,Eif2b3,-1.5918621,Atp5l,-4.8779287,Frzb,-4.6039643,Ube2a,-1.6236826
Mnx1,-3.0491621,Lpcat3,-3.0203187,Zfp148,-1.5922086,Grin2c,-4.8786187,Nktr,-4.604527,Ppih,-1.6255114
Hnf1b,-3.0496793,Mbip,-3.0215452,Usp10,-1.5926708,Drc1,-4.8835645,Ugdh,-4.6085916,Hnf1b,-1.6263496
Ndufc2,-3.0505724,Fuca1,-3.0246959,Tpd52l2,-1.5948083,Spag7,-4.9246106,Isca2,-4.6141024,Tmem178,-1.6266925
Racgap1,-3.0507603,Nacc1,-3.0276773,Slc31a1,-1.5955015,Arg1,-4.927067,Syngr1,-4.614777,Nfix,-1.6311502
Macrod1,-3.05767,Pold3,-3.0339997,Dcun1d5,-1.5960215,Pura,-4.928833,Dnajc2,-4.618135,Psmc6,-1.6313026
Magi1,-3.0588686,Prkra,-3.040428,Lsm6,-1.596137,Mkrn1,-4.9311037,Gnai1,-4.620593,Sulf2,-1.6314931
Mpzl1,-3.0657315,Ccnjl,-3.0418234,Lsm4,-1.5970036,Ubn1,-4.9313564,Mgll,-4.6213803,Pum1,-1.6330552
Slc38a2,-3.0685048,Slc44a3,-3.0432825,Irx2,-1.5975236,Glb1l2,-4.938304,Rif1,-4.62326,Anapc5,-1.6369414
Ptprk,-3.0686693,Sypl,-3.0448685,Aifm1,-1.5993145,Sdccag8,-4.966481,Cdkn1c,-4.6273413,Dcun1d1,-1.6370558
Smarcd3,-3.0787048,Sri,-3.048019,Serinc2,-1.5995455,Pcm1,-4.9670696,Tmem65,-4.633318,Dsg2,-1.6375511
Ormdl2,-3.081478,Wdr43,-3.0498376,Gabpb2,-1.5997188,St6galnac5,-4.9738827,Maob,-4.6426363,Dtnb,-1.639075
Cuedc2,-3.0816896,Itga6,-3.0508525,Ccar1,-1.6013942,Tmem184b,-4.980057,Arg1,-4.6455765,Acbd6,-1.6395704
Ncald,-3.0838282,Trp53inp1,-3.051085,Memo1,-1.601914,Pik3r1,-5.0101514,Lgr4,-4.6463156,Fiz1,-1.6404848
Mospd1,-3.0885289,Ntmt1,-3.0519943,Nr5a2,-1.6021452,Ctsb,-5.012759,Sgf29,-4.646412,Coq2,-1.6412086
Cirh1a,-3.0887873,Nudt4,-3.0556102,Cdca7l,-1.602434,Psmc1,-5.012927,Arcn1,-4.654477,Snx6,-1.6414373
Igfbp5,-3.0900564,Ccdc50,-3.0637088,Topbp1,-1.602434,Glrx2,-5.0369496,Ugt8a,-4.656116,Ddx39b,-1.6427327
Ddx47,-3.0909495,Psma2,-3.08164,Rbms2,-1.6027229,Klc2,-5.0668426,Ugt2b35,-4.659827,Sorbs2,-1.6430376
Hint1,-3.0920072,Ube2d1,-3.0833738,Ddx39,-1.6038783,Twsg1,-5.069635,Tm7sf3,-4.661193,Rasgrp3,-1.6434186
Cers4,-3.0969663,Epc2,-3.083564,Mrps15,-1.6054958,Amn1,-5.077693,Samm50,-4.6615787,Sf3b1,-1.6444854
Tbc1d9,-3.1005855,Cdc123,-3.0852346,Gnpat,-1.6059003,Mboat4,-5.079829,Smim19,-4.670383,Pycard,-1.6451712
Luc7l3,-3.1017606,Slc39a10,-3.0859113,Tmem53,-1.6085577,Cct2,-5.08496,3830406C13Rik,-4.6708007,Acin1,-1.6486764
Ctps,-3.1033118,March5,-3.0862074,Magohb,-1.6088465,Cog1,-5.0897207,Ubac2,-4.6782393,Sox5,-1.6490574
Hs6st1,-3.1102686,Hdac1,-3.0868628,Chd7,-1.6096554,Sbno1,-5.1007056,Sesn2,-4.6802797,Arid1a,-1.6511528
Cox7b,-3.1119373,Nup43,-3.088787,Rbm26,-1.6097709,Calr,-5.1032457,Lcmt1,-4.685694,Apip,-1.651191
Acin1,-3.1141465,Atp5o,-3.0932274,Dlst,-1.6141614,Eif3e,-5.1104794,Dsg2,-4.686578,Smc3,-1.6537818
Fam151a,-3.1151335,Atg3,-3.0955112,Rbm5,-1.614508,Kmt2c,-5.125519,Fxn,-4.686803,Trp53i11,-1.6538581
Cdc16,-3.118659,Map4k4,-3.095638,Ash1l,-1.6148547,Med27,-5.125586,Csk,-4.6877346,Bzw2,-1.656868
Fam32a,-3.1202807,Capza2,-3.1054916,Patz1,-1.6153169,Aip,-5.1287484,Ict1,-4.69482,Glo1,-1.6574395
Trim59,-3.128718,Armc10,-3.1129348,Coq2,-1.6164722,PISD,-5.1295223,Pacrg,-4.696507,Sptlc1,-1.6605256
Hmgn2,-3.133301,Cox5a,-3.1160643,Ict1,-1.6175121,Abcg1,-5.1299934,Ndufs3,-4.7093115,Cenpe,-1.6609447
Ugp2,-3.1355102,Mtfr1,-3.1228518,Tmem238,-1.617801,Bcar1,-5.133846,Uap1,-4.7148385,Maob,-1.6616685
Kdm1a,-3.1389182,Adamts9,-3.1291742,Dock11,-1.6190141,Gspt1,-5.134855,Entpd3,-4.7269363,Ndufs6,-1.6621258
Tmem53,-3.1394823,Taf11,-3.130443,Uhrf1,-1.6197073,Romo1,-5.138354,Rnf187,-4.7329454,Ccnd3,-1.6625448
Cenph,-3.1401403,Atp1b1,-3.1345453,Atp5d,-1.6216137,Cfap77,-5.144057,Pgap1,-4.734166,Smoc2,-1.6674979
Nipa2,-3.1414328,Wwtr1,-3.1417346,Pkm,-1.6217294,Galnt12,-5.147001,Cxadr,-4.7358694,Haus4,-1.6751941
Ttc5,-3.1460392,Fam92a,-3.142644,Prpf40a,-1.6255422,Psma7,-5.148733,Hmgcs1,-4.737701,N4bp2l2,-1.6756133
Saal1,-3.149259,Chd6,-3.1439126,Swt1,-1.6257733,Arfgap3,-5.149255,Arhgef16,-4.7377973,Reep3,-1.6759943
Tmem147,-3.1509748,Tmem98,-3.146598,Scpep1,-1.6276219,Rbm39,-5.150163,Tpx2,-4.748337,Poldip2,-1.6794995
Rab18,-3.1518679,Nfia,-3.1470842,Bspry,-1.6290661,Glyr1,-5.1616526,Prmt7,-4.762138,Ipo5,-1.6798043
Hacd1,-3.1576965,Chp1,-3.1472535,Smad4,-1.6307993,Cep170,-5.1894937,Arl1,-4.764901,Lsm12,-1.6798425
Mtf2,-3.158143,Yy1,-3.14848,Sestd1,-1.6350743,Pcmtd2,-5.190856,Tab2,-4.766251,Lrp5,-1.6816713
Mtch2,-3.1642537,Rap1gap,-3.154887,Brix1,-1.6358831,Slc36a1,-5.2015553,2310009B15Rik,-4.7703156,Hspg2,-1.6828142
Miat,-3.1693304,Pck2,-3.1603,Ndc1,-1.6358831,Itpr1,-5.204078,0610011F06Rik,-4.78206,Kif23,-1.6830429
Ypel2,-3.1718686,Bub1b,-3.164529,Mpp5,-1.6374428,Eif4e,-5.207022,Yap1,-4.782542,l7Rn6,-1.6832334
Tfdp2,-3.176757,2610035D17Rik,-3.168568,Polr2b,-1.6394649,Syp,-5.211228,Acot7,-4.7855625,Sytl4,-1.6849478
Plaa,-3.180635,Tmem165,-3.1689484,Ppp1r14b,-1.6408513,Tmx4,-5.2117324,Arhgap5,-4.792391,Ugt2b35,-1.6855575
Siah1a,-3.1915166,Cbfb,-3.1692233,Rab10,-1.6420645,Ndufb9,-5.2240295,Nfia,-4.7975802,Ube2l3,-1.6881864
Ss18,-3.193632,Ddx39b,-3.172691,Mthfd1,-1.6421801,Chp1,-5.2251062,Dnlz,-4.79893,Fam63a,-1.6893294
Sec22a,-3.2017636,Mllt4,-3.1728392,Rras2,-1.644433,Acadsb,-5.227108,Dync2li1,-4.804216,Grb14,-1.6910439
Iqgap1,-3.2138438,Eif4h,-3.1739388,Srpk1,-1.6458774,Ostf1,-5.230607,Zfp106,-4.804505,Cotl1,-1.691844
Vapb,-3.214314,Gjc1,-3.1752286,Pik3c2a,-1.6476682,Tmem9b,-5.2352667,Copz1,-4.8074775,Bin3,-1.6936728
Psmc5,-3.214361,Smo,-3.17895,Palm,-1.6496902,Phf23,-5.258717,Ufc1,-4.8080554,Tmf1,-1.695273
Bcl2l14,-3.2166407,Fat1,-3.183306,Ccnb2,-1.6524054,Cwc15,-5.262216,Sypl,-4.808634,2700094K13Rik,-1.6953874
Taldo1,-3.219179,Fras1,-3.19261,Etf1,-1.6530986,Ndrg3,-5.2643523,Prc1,-4.8130846,2310009B15Rik,-1.6965303
Cenpf,-3.2209888,Larp7,-3.1970716,Top2b,-1.6541384,Otud5,-5.278769,Snrpd3,-4.8150606,Fgfr4,-1.7000737
Nphp1,-3.223903,Zfand1,-3.1979597,Psmd1,-1.6546006,Plppr2,-5.28067,Rgma,-4.8175187,Wdr73,-1.7004166
Timm44,-3.224749,Trim27,-3.1988478,Kdm1a,-1.6561027,Cox6c,-5.288072,Bcam,-4.8187237,Skiv2l2,-1.701712
Gfra3,-3.229003,Clspn,-3.1990805,Pclo,-1.6563915,Vapa,-5.29364,Jtb,-4.8215675,Ide,-1.7018263
Rassf9,-3.229473,Spint1,-3.1996512,Sf3a1,-1.6572582,Gyg,-5.306913,Flrt2,-4.8222103,Sptlc2,-1.7023216
Glis3,-3.2349257,Fancl,-3.201216,Cyb5a,-1.6576047,Ctsa,-5.322204,Sdc1,-4.823688,U2af2,-1.7040743
Nrp1,-3.2403781,4931406C07Rik,-3.2065659,Chadl,-1.6585869,Abcf1,-5.3223386,Ide,-4.8242025,Tom1l1,-1.7044933
Ccnjl,-3.2410834,Hsd17b12,-3.2075808,Ube2z,-1.6606088,Khdrbs3,-5.334989,2700094K13Rik,-4.826243,Cbx5,-1.706665
Tpx2,-3.2412243,Supt16,-3.2088284,Rala,-1.6609554,Gcg,-5.3459234,Cda,-4.8348384,Lmo4,-1.7068937
Homer3,-3.244491,Rasgrp3,-3.2133322,Ehf,-1.662053,Dtnbos,-5.3466973,Nek1,-4.838003,Brms1,-1.7090653
Hnrnpa3,-3.2447262,Melk,-3.2136283,Pgrmc2,-1.663555,Dapk3,-5.352114,l7Rn6,-4.8407507,Tacc2,-1.7102846
Frzb,-3.246724,Rab15,-3.2164407,Cdc123,-1.6636707,Chd4,-5.362258,Ctsl,-4.844767,Eif3c,-1.7164568
Fnbp1l,-3.2544563,Mapk3,-3.219993,Srp19,-1.6637284,Vdac2,-5.3697104,Lamb1,-4.8518205,Borcs8,-1.7170664
Rfwd3,-3.2555609,Shroom3,-3.2203102,Derl1,-1.6637862,Scamp1,-5.3779697,2610002M06Rik,-4.860593,Nudcd2,-1.7180189
Coq10b,-3.2577934,Wwc2,-3.2238202,Knop1,-1.6652304,Ccdc88a,-5.3835716,Daam1,-4.8675175,Tm2d3,-1.7188952
Ints4,-3.2607079,Ss18,-3.2249622,Tfrc,-1.6682345,Leprotl1,-5.3889213,Nelfe,-4.8680477,Eef1e1,-1.7200763
Nup43,-3.262823,Mospd1,-3.2280493,Mpp6,-1.6749358,Cct8,-5.398106,Fam234a,-4.881238,Racgap1,-1.7219814
Ammecr1l,-3.262964,Adsl,-3.231623,Kcmf1,-1.6753402,Lrrn2,-5.4071903,Tmem165,-4.8862185,Dach1,-1.7220576
Cenpe,-3.266889,Sdha,-3.2402713,Tbl1x,-1.6781709,Synpr,-5.412893,C1d,-4.8943,Gmps,-1.7260962
Tmtc4,-3.2694507,Raf1,-3.2422166,Rbms1,-1.6790953,Slc43a2,-5.426216,Pard6b,-4.895473,Cenpf,-1.727925
Dbf4,-3.2698503,5330417C22Rik,-3.2424705,Esf1,-1.6806551,Ergic2,-5.4276967,St14,-4.901241,Ptges3,-1.7312397
Tsr3,-3.2702262,Tmc4,-3.2454307,Rbx1,-1.6808285,Nol4,-5.4333825,Add1,-4.905546,Incenp,-1.7315826
Secisbp2,-3.27998,Rdm1,-3.2505267,Lpp,-1.6845834,Rnf10,-5.4404645,Cks2,-4.9060607,Ctcf,-1.7353927
Bcas2,-3.2821655,Rgma,-3.25742,Eef1e1,-1.6881652,Tonsl,-5.446891,Fance,-4.9063177,Prc1,-1.7378311
Ivns1abp,-3.286067,Ubald2,-3.2587311,Clic6,-1.6888007,Naa20,-5.471939,Haus1,-4.9089847,Fermt1,-1.7378311
Fam162a,-3.2974422,Elavl1,-3.2676754,Fn1,-1.6891474,Sytl4,-5.476296,Myo18a,-4.910752,Srsf10,-1.7391264
Bcl7a,-3.2975361,Magi1,-3.2694094,Txlna,-1.6898406,Clcn3,-5.4801817,Cox5b,-4.913467,Prom1,-1.7414507
Tmem123,-3.2995105,Ptk7,-3.2724755,Shmt1,-1.6914581,Rab18,-5.4978957,Rangap1,-4.915684,Gjc1,-1.7457559
Fam134b,-3.303506,Hmgn2,-3.275499,Tex30,-1.6916893,Zfand3,-5.5168037,Tmem126a,-4.916504,Ddx52,-1.7478895
Jmy,-3.304822,Nt5c2,-3.2819061,Rars2,-1.695271,Kirrel2,-5.51783,Hnf1b,-4.917323,Cdca7l,-1.7532617
Hspg2,-3.3081124,Gab1,-3.283196,Ccdc50,-1.6989105,Adgrg1,-5.5179815,Slc2a5,-4.9222393,Haus1,-1.7569956
Ehmt1,-3.3135884,Mllt3,-3.288567,Fam213b,-1.7006437,Stx1a,-5.520673,Glb1,-4.9233,Mrpl3,-1.7600435
Shank2,-3.315304,BC023829,-3.288736,Numa1,-1.7008747,Golgb1,-5.52254,Smarcd3,-4.9239583,Asna1,-1.7602721
Cdca7l,-3.3204277,Cck,-3.2938955,Gata6,-1.7034744,Ppp6c,-5.5481267,Thap3,-4.9248905,Rbbp6,-1.7620248
Plod2,-3.3261857,Rbms1,-3.2940648,Ctdspl,-1.7035321,Slc30a9,-5.5497756,Nbeal1,-4.9272523,Gemin7,-1.7625962
Orc6,-3.3305337,Nxn,-3.2982514,Ddx46,-1.7035899,Rfx3,-5.5586743,Tssc4,-4.939173,Kcnq1,-1.7638155
Fcf1,-3.3322024,Gpat4,-3.2996683,Pttg1,-1.7043988,BC005561,-5.5620894,Ica1,-4.9402018,Zdhhc6,-1.7702163
Pdzd11,-3.3323197,Smu1,-3.3013809,2700094K13Rik,-1.7053808,Galnt11,-5.570349,Sox6,-4.946146,Slc4a4,-1.7729976
Rnf128,-3.3402166,Etv1,-3.3022902,Nr2f6,-1.7054386,Sumf1,-5.5711565,Ndufa6,-4.948797,Dock1,-1.7739121
Drap1,-3.3412507,Nxt1,-3.3063078,Ctps,-1.7074605,Ddr1,-5.5835547,Ap2a2,-4.950757,Slc31a1,-1.7749027
Nfix,-3.347338,Tfdp2,-3.3221667,Dpf2,-1.7089626,Bptf,-5.5962048,St3gal5,-4.9613447,Rassf9,-1.7777983
Spon1,-3.3533075,Dars,-3.3236892,Klhdc2,-1.7105224,Fdft1,-5.5982404,Epb41l3,-4.9698763,Fbxw2,-1.7781031
4930523C07Rik,-3.3565273,Thra,-3.3250847,F11r,-1.7108113,Metap2,-5.6012855,Prrc2a,-4.9784074,Samd10,-1.7801224
Dazap1,-3.3615334,Slc35b2,-3.3279393,Cdca8,-1.712371,Ip6k2,-5.6030684,Pcmt1,-4.982408,Atp5b,-1.7857994
Oat,-3.363531,Thoc7,-3.332845,Anp32e,-1.7140464,Coq9,-5.6035056,Fggy,-4.9854608,Ubac2,-1.78759
Cttnbp2nl,-3.36614,Topbp1,-3.3365455,Cnot8,-1.7183213,Eml5,-5.612691,Mri1,-4.994072,Chac2,-1.7879711
Cpt2,-3.3706994,Kif23,-3.345363,Hsd17b4,-1.7212099,Pcbp2,-5.624416,Tbc1d1,-5.0004826,Vwa9,-1.7880473
Gapdh,-3.3855293,Elovl7,-3.3548994,Rrm1,-1.7223076,Gnai3,-5.626956,Sgms1,-5.0055275,Pard6b,-1.7880853
Ddx52,-3.3871276,Sgce,-3.359911,Dab1,-1.7224231,Kif12,-5.6373186,Coa3,-5.0065556,Ccm2,-1.7886188
Net1,-3.3871746,Cenpe,-3.3640132,Ireb2,-1.7301643,Atg10,-5.6411877,Ncaph2,-5.0127735,Cenph,-1.7891141
Tm2d3,-3.38748,Bcas2,-3.3682845,Wbp4,-1.7361724,Pex5l,-5.6435933,Map4k3,-5.0127735,Mfap1a,-1.7898761
Sap30bp,-3.3908174,Fgfr1,-3.3710122,Ube2e1,-1.7377322,Mapt,-5.651079,Plpp3,-5.014155,Topbp1,-1.790981
Gm8113,-3.394672,Ugt2b35,-3.3725557,Ccnd3,-1.7391765,Wfs1,-5.6541743,Denr,-5.017224,Wdr18,-1.7914001
Psmd14,-3.3958704,Chd3,-3.3747125,Slc2a2,-1.7465711,Cdk8,-5.654393,Mrps15,-5.022445,Bag2,-1.794791
Tjp3,-3.400806,Ano6,-3.3749874,Ppp1r35,-1.7546011,Rcn1,-5.664217,Dag1,-5.0336595,Cdt1,-1.7980677
Cdc14b,-3.4041197,Tmem159,-3.3764253,Tmem128,-1.7568542,Cd164l2,-5.6667743,Eri3,-5.035202,Smek1,-1.7992868
Nol11,-3.4064467,Rcc1,-3.37725,Ddx27,-1.7618802,Tmem63b,-5.6710806,Vps35,-5.0382066,Nop10,-1.7997441
Snx6,-3.4217937,Nfix,-3.3783073,Psmc4,-1.7623423,Pde3b,-5.6788526,Cenpf,-5.0413556,Acsl5,-1.803935
Fgfr4,-3.4328399,Vmp1,-3.3787513,Rtca,-1.7647687,Cpn1,-5.6831927,Vps36,-5.0466733,Ddx39,-1.8075166
Pygb,-3.4372113,Dbf4,-3.3799565,Sbspon,-1.7659819,Iscu,-5.691032,Gpi1,-5.0476213,Dhfr,-1.8075546
Ubald2,-3.43794,Tmem178,-3.383805,Uqcr10,-1.7660397,Prodh2,-5.6922092,Mov10,-5.0495653,Stk39,-1.8096882
Cdc42,-3.4392326,Adck5,-3.3847988,Msrb2,-1.7696215,Nipbl,-5.704557,Ruvbl2,-5.052056,Bmp7,-1.8113266
Fam192a,-3.4395146,Ntan1,-3.387146,Ten1,-1.7736076,Psmc4,-5.720353,Nelfb,-5.06658,Zfand5,-1.8120886
Uchl5,-3.4396555,Ube2r2,-3.3932781,2810004N23Rik,-1.7778249,Snrnp27,-5.7512894,Sparc,-5.0675917,Gcn1l1,-1.8135364
Blmh,-3.4402666,Brix1,-3.4038718,Cxadr,-1.78054,Cyfip2,-5.752904,Dtnbp1,-5.0706444,Chchd1,-1.8148699
Ube2r2,-3.443369,Zfp386,-3.410744,Ptprf,-1.7829086,Stk25,-5.7653694,Pea15a,-5.072717,Rbm7,-1.8155938
Rras2,-3.444262,Phf14,-3.4123511,Gtf2a2,-1.7831975,Cmas,-5.7716103,Net1,-5.0727654,Ccdc58,-1.8176131
Bcl11b,-3.4529579,Smoc2,-3.4147615,Ift43,-1.7835441,1110004F10Rik,-5.7739825,Pdk1,-5.0921574,Pkp4,-1.8214612
Aars,-3.4531696,G2e3,-3.4154382,Taf12,-1.7837174,Atp2a2,-5.7781377,Osbpl1a,-5.0963826,Gtpbp4,-1.822871
Stoml2,-3.455073,Ugp2,-3.429965,Anp32b,-1.7868948,Agap3,-5.786397,Rpa1,-5.096913,Ap1m2,-1.8235568
Tmpo,-3.4552846,Myl12b,-3.4351456,Hmgn2,-1.7869525,Kmt2a,-5.7880287,Cenph,-5.097138,Ubald2,-1.8242806
Dsg2,-3.4754498,Tm2d3,-3.4352512,Rnf128,-1.7871836,Dennd2a,-5.791259,Pycard,-5.1011705,Fam213a,-1.8260714
Sdha,-3.4880235,Atp1b3,-3.4364142,Cct8,-1.7875303,Ndufs8,-5.8213706,Plod2,-5.10305,Syne2,-1.8295766
Wdr12,-3.4937582,Fgfr4,-3.4627612,Siva1,-1.78909,Brd3,-5.8239107,Sumf2,-5.104657,Akr1a1,-1.8301481
Suclg2,-3.4950273,Dnmt1,-3.4659119,Haus1,-1.790361,Rwdd4a,-5.843357,Anpep,-5.1171565,Akap8,-1.8317484
Psmd4,-3.4958265,Pnn,-3.4753215,Pdzd8,-1.7924408,Frzb,-5.8491273,Hat1,-5.119984,Msrb2,-1.8337677
Rap1a,-3.5004563,Tsr3,-3.4805655,Slc38a1,-1.7959647,Akirin2,-5.8530807,Tcta,-5.125736,Cyc1,-1.834263
Pbx3,-3.5080948,Ddx27,-3.487776,Lifr,-1.8008752,Ubl7,-5.881443,Dock11,-5.132259,Stxbp2,-1.8354821
Tjp2,-3.5081887,Lockd,-3.4898272,Picalm,-1.8012218,Stx12,-5.8842354,Fam20b,-5.1403084,Hspd1,-1.8356346
Trim27,-3.5175898,Ptdss2,-3.4958324,Mtss1,-1.8028972,Swt1,-5.9078035,Erich5,-5.145321,Supt4a,-1.8357489
Dcx,-3.5202456,Fign,-3.4981582,Tmtc4,-1.8072877,Btrc,-5.932246,Tmem123,-5.146285,Hmgcr,-1.8366252
Vdac3,-3.5281188,Ssb,-3.4996386,Zkscan1,-1.807692,Sec11c,-5.9341636,Dicer1,-5.1519566,Tgs1,-1.8409686
Anapc5,-3.5334773,Bcl2l1,-3.5002518,Col27a1,-1.8082699,Ciapin1,-5.9494214,Tmem248,-5.156953,Cd99l2,-1.842264
Papss1,-3.553243,Rpl22l1,-3.5046499,Ythdf2,-1.812256,Znhit1,-5.9519114,Ctdspl,-5.161291,Igf2bp2,-1.8428355
Dhx15,-3.5539246,Hif3a,-3.5097036,Lsg1,-1.8124293,Nkiras1,-5.9639053,Msmo1,-5.1670427,Sfxn1,-1.8442833
Dnajc15,-3.5548646,Lifr,-3.5121565,Uba1,-1.8135269,Cmtm4,-5.964696,Dsp,-5.167444,Glis3,-1.8463408
Abcf1,-3.563443,Fam63a,-3.5162587,Armc10,-1.813758,Tmbim4,-5.9710383,Lpgat1,-5.1691475,Fam134b,-1.8466836
Rpp30,-3.5686135,Fam136a,-3.518796,Fancl,-1.8160111,Atg3,-5.9749074,Far1,-5.196364,Rfx3,-1.8475219
Hgsnat,-3.5697417,Grhpr,-3.52127,Bax,-1.8223658,Ahsa1,-5.976253,Ndufb3,-5.1984043,0610007P14Rik,-1.8482457
Shmt1,-3.5775445,Cpne3,-3.5227501,Ero1lb,-1.8251387,Edem2,-5.979752,Mapt,-5.200991,Nr2f6,-1.8486267
Zmat5,-3.5804353,Chd1,-3.5276136,Srsf1,-1.8256009,Baz2b,-5.981014,Tmem163,-5.202003,Vdr,-1.8489316
Ptdss2,-3.5856764,Dstn,-3.5322654,Ap3s2,-1.826814,Sar1b,-5.98421,Smc2,-5.2033687,Supt16,-1.8519034
Dpp3,-3.5889196,Prcp,-3.5370867,Wdr18,-1.827334,Pacsin1,-5.985253,Atp2a2,-5.2091045,Cep164,-1.852132
Zfhx3,-3.5890372,2610001J05Rik,-3.5420346,Uchl5,-1.827334,Klf10,-6.0031853,Bet1,-5.2224073,Tcerg1,-1.8539227
Jkamp,-3.5897422,Clcc1,-3.5495834,Cdk6,-1.8296448,Pex19,-6.014961,Mrpl57,-5.222552,Arl8b,-1.8595616
Zfp91,-3.5903533,Flrt2,-3.5537913,Adamts16,-1.8308003,Anapc16,-6.0224805,Sdhb,-5.226231,Cdc20,-1.8615047
Rnf138,-3.5907764,Psmd11,-3.5585067,Tma7,-1.830858,Pak1ip1,-6.022935,Xiap,-5.2302,Dbf4,-1.8653147
Cnksr3,-3.5960174,Rbm25,-3.5628839,Supt16,-1.8309735,Atp6v1h,-6.0348616,Nme6,-5.2347627,Tagln2,-1.8665339
Smarca4,-3.5986497,Tmem51,-3.5631375,Prdm16,-1.8329377,Igsf21,-6.035972,Tma7,-5.235807,Smoc1,-1.86661
Fat1,-3.602222,Ehmt1,-3.5677261,Ctnna1,-1.8332844,Psmb4,-6.0459476,Anapc5,-5.241928,Mthfd1,-1.8671054
Pex2,-3.6071577,Mesdc2,-3.5714054,Ncaph2,-1.8347286,Ppp1r2,-6.054409,Acyp2,-5.2436953,Mrpl23,-1.8701534
Ing4,-3.607275,Pbld2,-3.5910704,Lrrc47,-1.8381948,Ccdc92,-6.055738,Hspd1,-5.2681646,Ptdss2,-1.8767447
Sestd1,-3.6074867,Fhl2,-3.5913875,Lamtor5,-1.8394657,Dner,-6.0566297,Rab3b,-5.275812,Rnpep,-1.8795642
Srsf10,-3.6083326,Vps72,-3.5917683,Sult2b1,-1.84143,Psenen,-6.076362,Igf1r,-5.276487,Sf3a3,-1.8823456
Atf3,-3.6090612,Parva,-3.593608,Prmt5,-1.842181,Trappc3,-6.0768166,Ddx17,-5.2805676,Hsp90ab1,-1.8869556
Grin3a,-3.6092024,Ndufaf2,-3.6014738,Ik,-1.8438563,Sept7,-6.090661,Tns3,-5.284456,Hn1,-1.88707
Ube2e1,-3.620789,Ak2,-3.6035671,Cks2,-1.8453584,Psap,-6.096364,Herpud1,-5.2859178,Zfp386,-1.8873748
Aldh2,-3.6257482,M6pr,-3.6081345,Rcn1,-1.8456472,Mamld1,-6.0992403,Stox2,-5.2909627,Tns3,-1.8875653
Uri1,-3.6314826,Tspan14,-3.6185803,Mapk14,-1.8543706,Akap8l,-6.105902,Rfc3,-5.2977586,Polr2f,-1.890118
Mki67,-3.6367471,Ptprk,-3.6231687,Smim1,-1.855526,Ttyh2,-6.109569,Larp7,-5.2993493,Azin1,-1.8911086
Taf11,-3.636794,Gtpbp4,-3.6232746,Mapkapk2,-1.857028,Maob,-6.12979,Mia3,-5.3010845,Homer3,-1.8935089
Mpdu1,-3.6410716,Cfdp1,-3.6320286,Cgnl1,-1.8652314,Cops3,-6.13053,Gfpt1,-5.3032694,Idh1,-1.8972046
Memo1,-3.6421998,Foxp4,-3.6341856,Prim1,-1.867831,G6pc2,-6.1442904,Cetn3,-5.3099694,Mapt,-1.8994907
Ocln,-3.6472528,Zscan21,-3.6369133,Bzw1,-1.8697952,Wnk3,-6.1478567,Ndufs8,-5.3110137,Kif12,-1.9013195
Rcbtb2,-3.6552436,Bckdha,-3.6411633,Dnaja1,-1.8727993,Copg1,-6.1570415,Incenp,-5.3113027,Magi1,-1.9047104
Fermt1,-3.6561131,Palm,-3.6415863,Ndufab1,-1.8734925,Psmb5,-6.171122,Ubl5,-5.31307,Cstb,-1.906082
Ndufa9,-3.6565127,Msrb2,-3.642855,Bcl7c,-1.8758034,Fryl,-6.174671,Chmp2a,-5.314018,Pcbp2,-1.9068059
Erp44,-3.659145,Cyp39a1,-3.6432357,Spsb4,-1.8779409,Mycbp2,-6.176286,Haus4,-5.317392,Hspbp1,-1.9082538
